kode,nama,paralel,sks,hari,sesi,waktu,ruang,dosen
TE201412,Rangkaian Listrik II,2,3,Senin,1,08:00-10:30,R01,Dosen TE-November
TE201424,Konversi Energi Listrik,1,3,Senin,1,08:00-10:30,R02,Dosen TE-Victor
TE201574,Elektronika Pencegahan Bencana,1,3,Senin,1,08:00-10:30,R03,Dosen TE-Romeo
TE201576,Teknologi Kendaraan Cerdas,1,3,Senin,1,08:00-10:30,R04,Dosen TE-Bravo
SI201404,Pemrograman Terstruktur,1,3,Senin,1,08:00-10:30,R05,Dosen SI-Mike
SI201423,Perencanaan Arsitektur Teknologi Informasi,2,3,Senin,1,08:00-10:30,R06,Dosen SI-India
SI201416,Perencanaan Manajemen Proyek Teknologi Informasi,1,3,Senin,1,08:00-10:30,R07,Dosen SI-Alpha
SI201734,Tugas Akhir,1,4,Senin,1,08:00-10:30,R08,Dosen SI-Delta
IF201410,Perancangan dan Analisis Algoritme,1,3,Senin,1,08:00-10:30,R09,Dosen IF-Echo
IF201511,Tata Kelola Teknologi Informasi,1,3,Senin,1,08:00-10:30,R10,Dosen IF-Foxtrot
BD201422,Manajemen Bisnis Proses,2,3,Senin,1,08:00-10:30,R11,Dosen BD-Delta
BD201419,Manajemen Rantai Pasok,2,3,Senin,1,08:00-10:30,R12,Dosen BD-Alpha
BD201408,Sistem Informasi Akuntansi,1,3,Senin,1,08:00-10:30,R13,Dosen BD-Charlie
TE201403,Matematika Diskrit,1,2,Senin,2,10:30-12:00,R01,Dosen TE-Oscar
TE201417,Komunikasi Data,2,2,Senin,2,10:30-12:00,R02,Dosen TE-Mike
TE201428,Kecerdasan Buatan,2,2,Senin,2,10:30-12:00,R03,Dosen TE-Victor
TE201559,Kualitas Daya Listrik,1,2,Senin,2,10:30-12:00,R04,Dosen TE-Juliet
SI201426,Inovasi dan Transformasi Digital,2,2,Senin,2,10:30-12:00,R05,Dosen SI-Kilo
IF201416,Wawasan Umum dan Gagasan Informatika,2,2,Senin,2,10:30-12:00,R06,Dosen IF-Alpha
IF201426,Startup Digital Lanjut,2,2,Senin,2,10:30-12:00,R07,Dosen IF-Delta
BD201407,Sistem Basis Data,1,2,Senin,2,10:30-12:00,R08,Dosen BD-Alpha
TE201413,Medan Elektromagnetik,1,4,Senin,3,13:00-15:30,R01,Dosen TE-November
TE201425,Desain Sistem Pengaturan,2,3,Senin,3,13:00-15:30,R02,Dosen TE-Juliet
TE201426,Sistem Komunikasi,2,4,Senin,3,13:00-15:30,R03,Dosen TE-Echo
TE201583,Aplikasi Komputer Bergerak,1,3,Senin,3,13:00-15:30,R04,Dosen TE-Hotel
SI201413,Desain Interaksi Antarmuka dan Pengalaman Pengguna,1,3,Senin,3,13:00-15:30,R05,Dosen SI-Lima
