hari,sesi,waktu,ruang,kode,nama,kelas,sks,dosen
Senin,1,08:00-10:30,R1,TE201424,Konversi Energi Listrik,A,3,Dosen TE-Victor
Senin,1,08:00-10:30,R10,BD201410,Akuntansi Manajemen,C,3,Dosen BD-Echo
Senin,1,08:00-10:30,R11,BD201421,Manajemen Keuangan,B,3,Dosen BD-Bravo
Senin,1,08:00-10:30,R2,TE201586,Visi Komputer,A,3,Dosen TE-Echo
Senin,1,08:00-10:30,R3,SI201414,Desain dan Manajemen Jaringan Komputer,B,4,Dosen SI-Bravo
Senin,1,08:00-10:30,R4,SI201415,Rekayasa Perangkat Lunak,A,4,Dosen SI-Mike
Senin,1,08:00-10:30,R5,IF201413,Sistem Basis Data,C,3,Dosen IF-Delta
Senin,1,08:00-10:30,R6,IF201415,Analisis dan Perancangan Perangkat Lunak,A,3,Dosen IF-India
Senin,1,08:00-10:30,R7,IF201425,Pemelajaran Mesin,A,3,Dosen IF-Hotel
Senin,1,08:00-10:30,R8,IF201514,Kapita Selekta,A,3,Dosen IF-Alpha
Senin,1,08:00-10:30,R9,IF201511,Tata Kelola Teknologi Informasi,A,3,Dosen IF-Foxtrot
Senin,2,10:30-12:00,R1,TE201404,Material Teknik Elektro,A,2,Dosen TE-Delta
Senin,2,10:30-12:00,R2,TE201578,Sistem Komunikasi Serat Optik,A,2,Dosen TE-Kilo
Senin,2,10:30-12:00,R3,IF201416,Wawasan Umum dan Gagasan Informatika,A,2,Dosen IF-Alpha
Senin,2,10:30-12:00,R4,IF201426,Startup Digital Lanjut,B,2,Dosen IF-Delta
Senin,2,10:30-12:00,R5,BD201409,Manajemen Perubahan dan Transformasi Digital,C,2,Dosen BD-Foxtrot
Senin,3,13:00-15:30,R1,TE201416,Sinyal dan Sistem,A,3,Dosen TE-Romeo
Senin,3,13:00-15:30,R10,IF201506,Sains Data,A,3,Dosen IF-Mike
Senin,3,13:00-15:30,R11,BD201410,Akuntansi Manajemen,B,3,Dosen BD-Echo
Senin,3,13:00-15:30,R12,BD201406,Manajemen Pemasaran,B,3,Dosen BD-India
Senin,3,13:00-15:30,R13,BD201423,Manajemen Produk,B,3,Dosen BD-Charlie
Senin,3,13:00-15:30,R2,TE201423,Teknologi Transduser,A,3,Dosen TE-November
Senin,3,13:00-15:30,R3,TE201426,Sistem Komunikasi,B,4,Dosen TE-Echo
Senin,3,13:00-15:30,R4,TE201583,Aplikasi Komputer Bergerak,A,3,Dosen TE-Hotel
Senin,3,13:00-15:30,R5,SI201411,Kecerdasan Bisnis,B,3,Dosen SI-Oscar
Senin,3,13:00-15:30,R6,SI201540,Komputasi Awan,A,3,Dosen SI-Echo
Senin,3,13:00-15:30,R7,SI201412,Pemrograman Web,A,3,Dosen SI-Juliet
Senin,3,13:00-15:30,R8,IF201413,Sistem Basis Data,B,3,Dosen IF-Delta
Senin,3,13:00-15:30,R9,IF201425,Pemelajaran Mesin,B,3,Dosen IF-Hotel
Senin,4,15:30-17:00,R1,TE201403,Matematika Diskrit,B,2,Dosen TE-Oscar
Senin,4,15:30-17:00,R2,SI201426,Inovasi dan Transformasi Digital,B,2,Dosen SI-Kilo
Senin,4,15:30-17:00,R3,SI201733,Proposal Tugas Akhir,A,2,Dosen SI-Papa
Senin,4,15:30-17:00,R4,BD201407,Sistem Basis Data,B,2,Dosen BD-Alpha
Selasa,1,08:00-10:30,R1,TE201414,Rangkaian Elektronika II,B,3,Dosen TE-Uniform
Selasa,1,08:00-10:30,R10,BD201410,Akuntansi Manajemen,A,3,Dosen BD-Echo
Selasa,1,08:00-10:30,R11,BD201431,Metodologi Penelitian Bisnis Umum,A,4,Dosen BD-Golf
Selasa,1,08:00-10:30,R2,SI201413,Desain Interaksi Antarmuka dan Pengalaman Pengguna,B,3,Dosen SI-Lima
Selasa,1,08:00-10:30,R3,SI201411,Kecerdasan Bisnis,A,3,Dosen SI-Oscar
Selasa,1,08:00-10:30,R4,SI201403,Manajemen dan Organisasi,B,3,Dosen SI-Hotel
Selasa,1,08:00-10:30,R5,SI201535,Manajemen Sumber Daya Manusia,A,3,Dosen SI-Foxtrot
Selasa,1,08:00-10:30,R6,IF201402,Matematika Diskrit,B,3,Dosen IF-Charlie
Selasa,1,08:00-10:30,R7,IF201411,Jaringan Komputer,A,3,Dosen IF-Lima
Selasa,1,08:00-10:30,R8,IF201412,Teori Graf dan Otomata,A,3,Dosen IF-Foxtrot
Selasa,1,08:00-10:30,R9,IF201415,Analisis dan Perancangan Perangkat Lunak,B,3,Dosen IF-India
Selasa,2,10:30-12:00,R1,TE201415,Arsitektur dan Organisasi Sistem Komputer,B,2,Dosen TE-Charlie
Selasa,2,10:30-12:00,R2,TE201566,Manajemen Proyek,A,2,Dosen TE-Kilo
Selasa,2,10:30-12:00,R3,BD201432,Information Security,A,2,Dosen BD-Alpha
Selasa,2,10:30-12:00,R4,BD201407,Sistem Basis Data,A,2,Dosen BD-Alpha
Selasa,3,13:00-15:30,R1,TE201412,Rangkaian Listrik II,B,3,Dosen TE-November
Selasa,3,13:00-15:30,R10,IF201424,Pengembangan Aplikasi Berbasis Web,B,3,Dosen IF-Bravo
Selasa,3,13:00-15:30,R11,IF201512,Teknologi IoT,A,3,Dosen IF-Kilo
Selasa,3,13:00-15:30,R12,BD201422,Manajemen Bisnis Proses,A,3,Dosen BD-Delta
Selasa,3,13:00-15:30,R13,BD201422,Manajemen Bisnis Proses,B,3,Dosen BD-Delta
Selasa,3,13:00-15:30,R14,BD201406,Manajemen Pemasaran,A,3,Dosen BD-India
Selasa,3,13:00-15:30,R15,BD201420,Pemrograman Aplikasi Perangkat Bergerak,A,3,Dosen BD-Golf
Selasa,3,13:00-15:30,R16,BD201411,Pengembangan UI/UX,C,3,Dosen BD-Bravo
Selasa,3,13:00-15:30,R2,TE201427,Sistem Mikroprosesor dan Mikrokontroler,A,3,Dosen TE-Charlie
Selasa,3,13:00-15:30,R3,TE201574,Elektronika Pencegahan Bencana,A,3,Dosen TE-Romeo
Selasa,3,13:00-15:30,R4,SI201414,Desain dan Manajemen Jaringan Komputer,A,4,Dosen SI-Bravo
Selasa,3,13:00-15:30,R5,SI201404,Pemrograman Terstruktur,B,3,Dosen SI-Mike
Selasa,3,13:00-15:30,R6,SI201412,Pemrograman Web,B,3,Dosen SI-Juliet
Selasa,3,13:00-15:30,R7,IF201404,Pemrograman Berorientasi Objek,B,3,Dosen IF-Delta
Selasa,3,13:00-15:30,R8,IF201412,Teori Graf dan Otomata,B,3,Dosen IF-Foxtrot
Selasa,3,13:00-15:30,R9,IF201424,Pengembangan Aplikasi Berbasis Web,A,3,Dosen IF-Bravo
Selasa,4,15:30-17:00,R1,TE201567,Otomasi Industri,A,2,Dosen TE-Victor
Selasa,4,15:30-17:00,R2,TE201569,Sistem Pengendalian Mesin Listrik,A,2,Dosen TE-Foxtrot
Rabu,1,08:00-10:30,R1,TE201423,Teknologi Transduser,B,3,Dosen TE-November
Rabu,1,08:00-10:30,R2,TE201425,Desain Sistem Pengaturan,B,3,Dosen TE-Juliet
Rabu,1,08:00-10:30,R3,SI201416,Perencanaan Manajemen Proyek Teknologi Informasi,B,3,Dosen SI-Alpha
Rabu,1,08:00-10:30,R4,SI201734,Tugas Akhir,A,4,Dosen SI-Delta
Rabu,1,08:00-10:30,R5,IF201410,Perancangan dan Analisis Algoritme,A,3,Dosen IF-Echo
Rabu,1,08:00-10:30,R6,BD201434,Manajemen Proyek,A,3,Dosen BD-Delta
Rabu,1,08:00-10:30,R7,BD201418,Pemasaran Digital,A,3,Dosen BD-Hotel
