day,session,start,end,room,kode_mk,nama,kelas,sks,dosen
Senin,1,08:00,10:30,E106,IF201403,Sistem Digital,B,3,Dosen IF-Kilo
Senin,1,08:00,10:30,E203,IF201425,Pemelajaran Mesin,A,3,Dosen IF-Hotel
Senin,1,08:00,10:30,E204,BD201411,Pengembangan UI/UX,A,3,Dosen BD-Bravo
Senin,1,08:00,10:30,E306,BD201406,Manajemen Pemasaran,A,3,Dosen BD-India
Senin,1,08:00,10:30,F307,TE201412,Rangkaian Listrik II,A,3,Dosen TE-November
Senin,1,08:00,10:30,G102,TE201586,Visi Komputer,A,3,Dosen TE-Echo
Senin,1,08:00,10:30,G103,IF201423,Pengolahan Citra Digital,B,3,Dosen IF-India
Senin,1,08:00,10:30,G105,BD201422,Manajemen Bisnis Proses,A,3,Dosen BD-Delta
Senin,1,08:00,10:30,G202,BD201408,Sistem Informasi Akuntansi,C,3,Dosen BD-Charlie
Senin,1,08:00,10:30,G204,SI201411,Kecerdasan Bisnis,B,3,Dosen SI-Oscar
Senin,1,08:00,10:30,G205,IF201404,Pemrograman Berorientasi Objek,C,3,Dosen IF-Delta
Senin,1,08:00,10:30,G307,IF201402,Matematika Diskrit,C,3,Dosen IF-Charlie
Senin,3,13:00,15:30,E103,IF201404,Pemrograman Berorientasi Objek,B,3,Dosen IF-Delta
Senin,3,13:00,15:30,E201,BD201420,Pemrograman Aplikasi Perangkat Bergerak,A,3,Dosen BD-Golf
Senin,3,13:00,15:30,E304,SI201423,Perencanaan Arsitektur Teknologi Informasi,A,3,Dosen SI-India
Senin,3,13:00,15:30,E306,BD201418,Pemasaran Digital,A,3,Dosen BD-Hotel
Senin,3,13:00,15:30,F103,TE201416,Sinyal dan Sistem,B,3,Dosen TE-Romeo
Senin,3,13:00,15:30,F104,TE201577,Jaringan Akses Nirkabel,A,3,Dosen TE-Foxtrot
Senin,3,13:00,15:30,F301,BD201408,Sistem Informasi Akuntansi,B,3,Dosen BD-Charlie
Senin,3,13:00,15:30,F307,TE201424,Konversi Energi Listrik,B,3,Dosen TE-Victor
Senin,3,13:00,15:30,G104,TE201414,Rangkaian Elektronika II,B,3,Dosen TE-Uniform
Senin,3,13:00,15:30,G106,BD201434,Manajemen Proyek,A,3,Dosen BD-Delta
Senin,3,13:00,15:30,G201,SI201422,Sistem Cerdas Pendukung Keputusan,B,3,Dosen SI-Foxtrot
Senin,3,13:00,15:30,G203,TE201427,Sistem Mikroprosesor dan Mikrokontroler,B,3,Dosen TE-Charlie
Senin,3,13:00,15:30,G204,TE201426,Sistem Komunikasi,B,4,Dosen TE-Echo
Senin,4,15:30,17:00,E103,TE201428,Kecerdasan Buatan,B,2,Dosen TE-Victor
